round,type,entry,exit,bet,pnl,capital,reason,return_pct
round_10119,hot_streak_3,1.9405,1.4241,14.986962400380742,-3.9882851757570794,1334.1333577153807,stop,-26.61169801597526
round_10127,post_massive,1.146,1.6872,26.015600475449926,12.285901376364318,1346.419259091745,target,47.225130890052384
round_10132,hot_streak_3,1.3354,2.3306,15.079895701827542,11.238214918720065,1357.6574740104652,target,74.52448704508015
round_10135,post_massive,1.3409,0.0,26.47432074320407,-26.47432074320407,1331.183153267261,crash,-100.0
round_10142,hot_streak,1.0091,0.0,18.636564145741655,-18.636564145741655,1312.5465891215194,crash,-100.0
round_10146,hot_streak_5,1.5566,1.2324,30.871095776138134,-6.4296603177592075,1306.1169288037602,stop,-20.827444430168317
round_10147,hot_streak,1.2,0.0,18.285637003252642,-18.285637003252642,1287.8312918005076,crash,-100.0
round_1016,hot_streak_3,1.2548,1.0558,9.522490633555964,-1.5101814122391097,1286.3211103882686,stop,-15.859101051960456
round_10160,momentum,2.1658,1.5247,8.724646415564312,-2.582588797219632,1283.738521591049,stop,-29.60107119770985
round_10164,hot_streak_3,1.154,1.2685,9.462061232728333,0.9388266994344825,1284.6773482904835,time,9.922010398613512
round_10165,hot_streak_3,1.3477,1.0543,13.537008467795811,-2.9470640976859013,1281.7302841927974,stop,-21.770423684796313
round_10167,hot_streak_3,1.5292,0.0,13.474971610737475,-13.474971610737475,1268.25531258206,crash,-100.0
round_10188,post_massive,1.2395,1.0528,22.970187299054032,-3.45989025311286,1264.795422328947,stop,-15.062525211778954
round_10206,hot_streak,1.0791,0.9111,16.401559754727543,-2.5534816409917767,1262.2419406879553,stop,-15.568529329997215
round_10207,post_massive,1.5154,1.2061,22.752879611829712,-4.6439657278203335,1257.597974960135,stop,-20.410452685759537
round_10211,hot_streak_3,1.561,2.1337,9.080635977234492,3.3315055888290797,1260.929480548964,target,36.688020499679695
round_10212,hot_streak,1.1419,3.0014,16.301447801204322,26.545706442192344,1287.4751869911563,target,162.84263070321396
round_10213,post_massive,1.2012,1.0059,18.937335730970613,-3.0789724177976705,1284.3962145733587,stop,-16.25874125874126
round_10214,hot_streak_5,1.7209,1.243,28.415277124781333,-7.891022684602824,1276.505191888756,stop,-27.770352722412696
